n,time
65536,0.00123185
131072,0.00258221
262144,0.00464251
524288,0.00973165
1048576,0.0195262
2097152,0.0425559
4194304,0.0752624
8388608,0.160955
16777216,0.373079
33554432,0.752725
67108864,1.5537
