n,time
65536,0.000326204
131072,0.000627199
262144,0.00136993
524288,0.00263775
1048576,0.00554586
2097152,0.0107227
4194304,0.0235358
8388608,0.0425724
16777216,0.0885571
33554432,0.170566
67108864,0.38668
